src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
140.116.82.55,140.116.82.53,2049,995,00:11:32:17:94:ff,a8:5e:45:3d:65:38,6,2022-03-11 15:41:39,33332729.0,5956982.160086562,4252.217092695891,346.2962783515265,3905.920814344364,11543,130195,4388682,194173790,1514.0,66.0,380.2028935285454,550.8962746596558,1514.0,66.0,1491.4074273205576,170.83742269601203,1514,66,1400.9120489918018,379.33323906302314,143893.70625804467,230860,2603900,20,5128,235.0842405299957,2386203.0,-6240.0,13423.207629436785,33263539.0,2497961.0,0.0,2881.9562467509963,49226.321441751206,33332117.0,2386203.0,0.0,256.01884111402984,14047.11770725603,0,0,0,0,1,0,0,0,0,0,0,11.279130208784546,1400.9120489918018,24576,2048,0.0,0.0,0.0,0.0,1402527.0,35301.0,666705.25,634960.0761080869,11642.233576642337,13.503649635036496,153905.19298245615,106.77527151211362,2015149.7635810599,50149821.3003844,380.2028935285454,1491.4074273205576,0,11543,130195,4388682,194173790
140.116.82.53,192.168.206.59,443,60328,a8:5e:45:3d:65:38,b4:e9:b0:c9:dc:80,6,2022-03-11 15:41:39,33273336.0,55678.486822000654,75.10518332156416,50.430771353975445,24.674411967588703,1678,821,1783632,68977,1304.0,66.0,1062.9511323003576,438.2832392988887,109.0,66.0,84.01583434835567,20.936968049954437,1304,66,741.3401360544218,583.550010024352,340530.61419942125,33560,16420,20,1525,13319.977181745397,985094.0,-11.0,40873.45314466904,32131537.0,626959.0,0.0,19160.12939773405,46885.56039609515,33270306.0,985125.0,0.0,40573.54390243902,88361.90856181807,0,0,0,0,1,0,0,0,0,0,0,0.4892729439809297,741.3401360544218,128,4678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14284.564814814816,12.351851851851851,199.0,4.8,425998.8198094188,2483.935552482188,1062.9511323003576,84.01583434835567,0,1678,821,1783632,68977
192.168.65.54,192.168.65.255,49802,28252,74:d0:2b:9a:42:cc,ff:ff:ff:ff:ff:ff,17,2022-03-11 15:41:39,32162903.999999996,16737.60553462461,15.70131851278106,15.70131851278106,0.0,505,0,538330,0,1066.0,1066.0,1066.0,0.0,0.0,0.0,0.0,0.0,1066,1066,1066.0,0.0,0.0,4040,0,8,505,63815.28571428572,937492.0,0.0,132351.5187933949,32162904.0,937492.0,0.0,63815.28571428572,132351.51879339493,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1066.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517120.0,505.0,0.0,0.0,16078.150157087804,0.0,1066.0,0.0,0,505,0,538330,0
159.65.151.139,192.168.65.16,443,54676,b4:e9:b0:c9:dc:80,00:0c:29:d6:06:2e,6,2022-03-11 15:41:39,0.0,0,0,0,0,1,0,66,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,261,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,1,0,66,0
159.65.151.139,192.168.65.16,443,60022,b4:e9:b0:c9:dc:80,00:0c:29:d6:06:2e,6,2022-03-11 15:41:39,2812527.0,2201.9344169851524,8.888803556374747,4.2666257070598785,4.622177849314869,12,13,2621,3572,734.0,66.0,218.41666666666666,218.89284225138312,827.0,66.0,274.7692307692308,285.3435591450456,827,66,247.72,257.1580867870968,66130.2816,240,260,20,6,117188.625,561734.0,38.0,172959.2995439516,2812527.0,678510.0,586.0,255684.27272727274,220931.30130101976,2586599.0,790198.0,84.0,215549.91666666666,283882.8970841846,0,0,0,0,1,0,0,0,0,0,0,1.0833333333333333,247.72,243,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.41666666666666,274.7692307692308,0,12,13,2621,3572
192.168.65.16,159.65.151.139,59830,443,00:0c:29:d6:06:2e,b4:e9:b0:c9:dc:80,6,2022-03-11 15:41:39,1077939.0,1535.337342836654,13.915444194894146,6.493873957617268,7.421570237276877,7,8,727,928,183.0,66.0,103.85714285714286,43.175484351418596,169.0,66.0,116.0,41.31888188225814,183,66,110.33333333333333,42.628107576522275,1817.1555555555558,140,160,20,3,76995.64285714286,451046.0,0.0,137490.28419056025,789910.0,451085.0,0.0,131651.66666666666,169352.5401607218,845293.0,451246.0,0.0,120756.14285714286,165650.51925961353,0,0,0,0,1,0,0,0,0,0,0,1.1428571428571428,110.33333333333333,501,263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,5.0,0.0,750.6408596339124,103.85714285714286,116.0,0,7,8,727,928
192.168.65.37,239.255.255.250,34235,1900,d8:bb:c1:01:18:1f,01:00:5e:7f:ff:fa,17,2022-03-11 15:41:39,1000367.9999999999,427.8425539401501,1.9992642707483648,1.9992642707483648,0.0,2,0,428,0,214.0,214.0,214.0,0.0,0.0,0.0,0.0,0.0,214,214,214.0,0.0,0.0,16,0,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,214.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0,2,0,428,0
192.168.65.16,224.0.0.251,5353,5353,00:0c:29:d6:06:2e,01:00:5e:00:00:fb,17,2022-03-11 15:41:39,6000418.0,209.48540585005912,1.1665853945508464,1.1665853945508464,0.0,7,0,1257,0,186.0,171.0,179.57142857142858,7.423074889580902,0.0,0.0,0.0,0.0,186,171,179.57142857142858,7.423074889580902,55.10204081632652,56,0,8,7,1000069.6666666666,1000730.0,999552.0,349.0027061340483,6000418.0,1000729.9999999999,999552.0,1000069.6666666666,349.00270613401085,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,179.57142857142858,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.57142857142858,0.0,0,7,0,1257,0
192.168.65.21,192.168.65.255,54915,54915,d8:bb:c1:58:a5:58,ff:ff:ff:ff:ff:ff,17,2022-03-11 15:41:40,31001796.0,304.98233070109876,0.9999420678724549,0.9999420678724549,0.0,31,0,9455,0,305.0,305.0,305.0,0.0,0.0,0.0,0.0,0.0,305,305,305.0,0.0,0.0,248,0,8,31,1033393.2,1973982.0,874395.0,177769.518192218,31001796.0,1973982.0,874395.0,1033393.2,177769.518192218,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,7548.0,2910.0,5229.0,2319.0,1004045.0,15159.0,661480.0,457292.51098248555,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,0,31,0,9455,0
192.168.65.54,192.168.65.255,54915,54915,74:d0:2b:9a:42:cc,ff:ff:ff:ff:ff:ff,17,2022-03-11 15:41:40,31175047.0,303.2874336965715,0.9943850285133492,0.9943850285133492,0.0,31,0,9455,0,305.0,305.0,305.0,0.0,0.0,0.0,0.0,0.0,305,305,305.0,0.0,0.0,248,0,8,31,1039168.2333333333,2107158.0,918363.0,199560.5990843689,31175047.0,2107158.0,918363.0,1039168.2333333333,199560.5990843689,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,50614.0,1012.0000000000001,21388.8,16098.204140835089,1101679.0,8990.0,316300.28571428574,467787.13095983374,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,0,31,0,9455,0
